FIPS,Name,var1,var2,var3,var4
011,Broward-Low,0.02,0.04,0.05,0.02
021,Collier-Low,0.17,0.08,0.12,0.2
086,Miami-Dade-Low,2.85,3.22,3.28,1.63
087,Monroe-Low,19.28,19.98,22.02,24.03
099,Palm Beach-Low,0.62,1.39,1.3,0.54
011,Broward-Med,0.07,0.09,0.12,0.06
021,Collier-Med,0.25,0.2,0.27,0.29
086,Miami-Dade-Med,16.79,19.06,20.05,11.69
087,Monroe-Med,47.62,54.32,59.52,58.14
099,Palm Beach-Med,5.1,10.28,9.5,4.47
011,Broward-High,0.13,0.21,0.25,0.11
021,Collier-High,0.39,0.28,0.4,0.36
086,Miami-Dade-High,61.81,61.93,62.19,47.74
087,Monroe-High,85.66,85.39,85.67,65.53
099,Palm Beach-High,13.41,25.83,24.97,10.92
